Date_Confirmed,Region,total,daily
2020-01-28,US,3.0,1.0
2020-01-28,United Kingdom,0.0,0.0
2020-01-28,"Korea, South",2.0,0.0
2020-01-28,Italy,0.0,0.0
2020-01-28,Mexico,0.0,0.0
2020-01-29,US,4.0,1.0
2020-01-29,United Kingdom,0.0,0.0
2020-01-29,"Korea, South",3.0,0.0
2020-01-29,Italy,0.0,0.0
2020-01-29,Mexico,0.0,0.0
2020-01-30,US,4.0,1.0
2020-01-30,United Kingdom,0.0,0.0
2020-01-30,"Korea, South",3.0,0.0
2020-01-30,Italy,0.0,0.0
2020-01-30,Mexico,0.0,0.0
2020-01-31,US,5.0,1.0
2020-01-31,United Kingdom,0.0,0.0
2020-01-31,"Korea, South",5.0,1.0
2020-01-31,Italy,0.0,0.0
2020-01-31,Mexico,0.0,0.0
2020-02-01,US,6.0,1.0
2020-02-01,United Kingdom,0.0,0.0
2020-02-01,"Korea, South",6.0,1.0
2020-02-01,Italy,1.0,0.0
2020-02-01,Mexico,0.0,0.0
2020-02-02,US,6.0,0.0
2020-02-02,United Kingdom,0.0,0.0
2020-02-02,"Korea, South",8.0,2.0
2020-02-02,Italy,1.0,0.0
2020-02-02,Mexico,0.0,0.0
2020-02-03,US,7.0,1.0
2020-02-03,United Kingdom,0.0,0.0
2020-02-03,"Korea, South",9.0,2.0
2020-02-03,Italy,1.0,0.0
2020-02-03,Mexico,0.0,0.0
2020-02-04,US,8.0,1.0
2020-02-04,United Kingdom,0.0,0.0
2020-02-04,"Korea, South",11.0,2.0
2020-02-04,Italy,1.0,0.0
2020-02-04,Mexico,0.0,0.0
2020-02-05,US,9.0,1.0
2020-02-05,United Kingdom,0.0,0.0
2020-02-05,"Korea, South",13.0,2.0
2020-02-05,Italy,2.0,0.0
2020-02-05,Mexico,0.0,0.0
2020-02-06,US,10.0,1.0
2020-02-06,United Kingdom,0.0,0.0
2020-02-06,"Korea, South",16.0,3.0
2020-02-06,Italy,2.0,0.0
2020-02-06,Mexico,0.0,0.0
2020-02-07,US,10.0,1.0
2020-02-07,United Kingdom,0.0,0.0
2020-02-07,"Korea, South",18.0,2.0
2020-02-07,Italy,2.0,0.0
2020-02-07,Mexico,0.0,0.0
2020-02-08,US,11.0,0.0
2020-02-08,United Kingdom,0.0,0.0
2020-02-08,"Korea, South",19.0,2.0
2020-02-08,Italy,2.0,0.0
2020-02-08,Mexico,0.0,0.0
2020-02-09,US,11.0,0.0
2020-02-09,United Kingdom,0.0,0.0
2020-02-09,"Korea, South",21.0,1.0
2020-02-09,Italy,2.0,0.0
2020-02-09,Mexico,0.0,0.0
2020-02-10,US,11.0,0.0
2020-02-10,United Kingdom,0.0,0.0
2020-02-10,"Korea, South",23.0,2.0
2020-02-10,Italy,3.0,0.0
2020-02-10,Mexico,0.0,0.0
2020-02-11,US,11.0,0.0
2020-02-11,United Kingdom,0.0,0.0
2020-02-11,"Korea, South",24.0,2.0
2020-02-11,Italy,3.0,0.0
2020-02-11,Mexico,0.0,0.0
2020-02-12,US,11.0,0.0
2020-02-12,United Kingdom,0.0,0.0
2020-02-12,"Korea, South",26.0,1.0
2020-02-12,Italy,3.0,0.0
2020-02-12,Mexico,0.0,0.0
2020-02-13,US,12.0,0.0
2020-02-13,United Kingdom,1.0,0.0
2020-02-13,"Korea, South",26.0,1.0
2020-02-13,Italy,3.0,0.0
2020-02-13,Mexico,0.0,0.0
2020-02-14,US,12.0,0.0
2020-02-14,United Kingdom,1.0,0.0
2020-02-14,"Korea, South",27.0,1.0
2020-02-14,Italy,3.0,0.0
2020-02-14,Mexico,0.0,0.0
2020-02-15,US,12.0,0.0
2020-02-15,United Kingdom,1.0,0.0
2020-02-15,"Korea, South",27.0,1.0
2020-02-15,Italy,3.0,0.0
2020-02-15,Mexico,0.0,0.0
2020-02-16,US,12.0,0.0
2020-02-16,United Kingdom,1.0,0.0
2020-02-16,"Korea, South",28.0,1.0
2020-02-16,Italy,3.0,0.0
2020-02-16,Mexico,0.0,0.0
2020-02-17,US,13.0,0.0
2020-02-17,United Kingdom,1.0,0.0
2020-02-17,"Korea, South",28.0,0.0
2020-02-17,Italy,3.0,0.0
2020-02-17,Mexico,0.0,0.0
2020-02-18,US,13.0,0.0
2020-02-18,United Kingdom,1.0,0.0
2020-02-18,"Korea, South",29.0,0.0
2020-02-18,Italy,3.0,0.0
2020-02-18,Mexico,0.0,0.0
2020-02-19,US,13.0,0.0
2020-02-19,United Kingdom,1.0,0.0
2020-02-19,"Korea, South",29.0,0.0
2020-02-19,Italy,3.0,0.0
2020-02-19,Mexico,0.0,0.0
2020-02-20,US,13.0,0.0
2020-02-20,United Kingdom,1.0,0.0
2020-02-20,"Korea, South",40.0,11.0
2020-02-20,Italy,3.0,0.0
2020-02-20,Mexico,0.0,0.0
2020-02-21,US,13.0,0.0
2020-02-21,United Kingdom,1.0,0.0
2020-02-21,"Korea, South",65.0,25.0
2020-02-21,Italy,5.0,2.0
2020-02-21,Mexico,0.0,0.0
2020-02-22,US,14.0,0.0
2020-02-22,United Kingdom,1.0,0.0
2020-02-22,"Korea, South",123.0,58.0
2020-02-22,Italy,14.0,8.0
2020-02-22,Mexico,0.0,0.0
2020-02-23,US,14.0,0.0
2020-02-23,United Kingdom,1.0,0.0
2020-02-23,"Korea, South",205.0,82.0
2020-02-23,Italy,36.0,22.0
2020-02-23,Mexico,0.0,0.0
2020-02-24,US,19.0,5.0
2020-02-24,United Kingdom,1.0,0.0
2020-02-24,"Korea, South",320.0,115.0
2020-02-24,Italy,68.0,32.0
2020-02-24,Mexico,0.0,0.0
2020-02-25,US,25.0,5.0
2020-02-25,United Kingdom,1.0,0.0
2020-02-25,"Korea, South",455.0,135.0
2020-02-25,Italy,113.0,46.0
2020-02-25,Mexico,0.0,0.0
2020-02-26,US,31.0,6.0
2020-02-26,United Kingdom,1.0,0.0
